name,brand,servingSizeG,servingUnit,calories,proteinG,carbsG,fatG,fiberG,sodiumMg,sugarG,saturatedFatG,transFatG,cholesterolMg,potassiumMg,source
"Pepperoni (ExtraMostBestest, 1 slice)",Little Caesars,1,1 slice,312.5,15.25,31.5,14.12,1.62,705.0,2.38,6.25,0.44,34.38,,littlecaesars
"Cheese (ExtraMostBestest, 1 slice)",Little Caesars,1,1 slice,277.5,14.62,31.5,10.5,1.62,553.75,2.12,5.25,0.38,26.88,,littlecaesars
"Italian Sausage (ExtraMostBestest, 1 slice)",Little Caesars,1,1 slice,332.5,16.12,31.5,16.0,1.62,710.0,2.38,6.62,0.31,38.75,,littlecaesars
"5 Meat Feast (Specialty, 1 slice)",Little Caesars,1,1 slice,353.75,17.38,31.5,17.75,1.62,890.0,2.5,7.25,0.44,43.12,,littlecaesars
"Ultimate Supreme (Specialty, 1 slice)",Little Caesars,1,1 slice,312.5,14.75,32.38,14.0,1.88,722.5,2.88,5.88,0.38,33.12,,littlecaesars
"3 Meat Treat (Specialty, 1 slice)",Little Caesars,1,1 slice,357.5,16.88,31.5,18.38,1.62,823.75,2.5,7.62,0.38,42.5,,littlecaesars
"Hula Hawaiian (Specialty, 1 slice)",Little Caesars,1,1 slice,272.5,15.12,34.0,8.75,1.62,696.25,4.38,3.88,0.25,27.5,,littlecaesars
"Veggie (Specialty, 1 slice)",Little Caesars,1,1 slice,280.0,12.5,33.25,10.5,2.5,678.75,3.12,4.75,0.25,19.38,,littlecaesars
"Slices-N-Stix (Specialty, 1 slice)",Little Caesars,1,1 slice,287.5,13.38,31.62,12.12,1.62,652.5,2.5,5.12,0.31,25.62,,littlecaesars
"Slices-N-Stix Bacon (Specialty, 1 slice)",Little Caesars,1,1 slice,372.5,14.5,31.5,14.38,1.62,695.0,2.38,6.0,0.38,29.38,,littlecaesars
"Slices-N-Stix Jalapeño (Specialty, 1 slice)",Little Caesars,1,1 slice,291.25,13.38,31.88,12.38,1.88,750.0,2.5,5.12,0.31,25.62,,littlecaesars
"Stuffed Crust Pepperoni (Specialty, 1 slice)",Little Caesars,1,1 slice,372.5,18.0,32.38,19.12,1.62,880.0,2.5,8.75,0.56,48.12,,littlecaesars
"Pretzel Crust Pizza with Pizza Sauce (Specialty, 1 slice)",Little Caesars,1,1 slice,260.0,11.38,30.0,10.62,1.38,1312.5,1.75,4.25,0.25,21.25,,littlecaesars
"Cheese Pretzel Crust Pizza with Cheese Sauce (Specialty, 1 slice)",Little Caesars,1,1 slice,242.5,10.62,30.38,8.88,1.12,1260.0,1.5,3.5,0.19,15.62,,littlecaesars
"Pretzel Crust Pizza with Cheese Sauce (Specialty, 1 slice)",Little Caesars,1,1 slice,273.75,11.75,30.5,11.62,1.12,1372.5,1.62,4.5,0.25,22.5,,littlecaesars
"Pepperoni (Classic, 1 slice)",Little Caesars,1,1 slice,287.5,13.62,31.25,12.12,1.62,631.25,2.38,5.25,0.38,28.75,,littlecaesars
"Cheese (Classic, 1 slice)",Little Caesars,1,1 slice,243.75,11.88,31.0,8.12,1.5,467.5,2.12,3.88,0.25,18.75,,littlecaesars
"Italian Sausage (Classic, 1 slice)",Little Caesars,1,1 slice,283.75,13.88,31.88,11.38,1.62,560.0,2.12,5.0,0.25,28.12,,littlecaesars
"Pepperoni (Detroit-Style Deep Dish, 1 slice)",Little Caesars,1,1 slice,346.25,16.12,39.88,13.88,2.0,660.0,2.5,5.88,0.38,30.0,,littlecaesars
"Cheese (Detroit-Style Deep Dish, 1 slice)",Little Caesars,1,1 slice,312.5,14.75,39.62,10.62,2.0,528.75,2.38,4.75,0.31,21.88,,littlecaesars
"Italian Sausage (Detroit-Style Deep Dish, 1 slice)",Little Caesars,1,1 slice,352.5,16.62,39.88,14.25,2.0,641.25,2.5,6.0,0.31,31.25,,littlecaesars
"Ultimate Supreme (Detroit-Style Deep Dish Specialty, 1 slice)",Little Caesars,1,1 slice,381.25,17.62,41.5,16.25,2.5,783.75,3.38,6.75,0.38,36.25,,littlecaesars
"3 Meat Treat (Detroit-Style Deep Dish Specialty, 1 slice)",Little Caesars,1,1 slice,435.0,19.88,40.12,21.88,2.0,905.0,2.75,8.75,0.44,45.62,,littlecaesars
"Hula Hawaiian (Detroit-Style Deep Dish Specialty, 1 slice)",Little Caesars,1,1 slice,336.25,17.12,42.62,11.0,2.12,701.25,4.62,4.75,0.31,28.75,,littlecaesars
