name,brand,servingSizeG,servingUnit,calories,proteinG,carbsG,fatG,fiberG,sodiumMg,sugarG,saturatedFatG,transFatG,cholesterolMg,potassiumMg,source
Bacon (Select Locations) (1 oz.),Qdoba,28,g,120,9,1,8,0,430,0,3.5,0,35,0,qdoba
Bacon (Select Locations) (2 oz.),Qdoba,57,g,230,19,2,17,0,860,0,7,0,70,0,qdoba
Black Beans (4 oz.) (v),Qdoba,113,g,140,9,24,1,14,330,1,0,0,0,360,qdoba
Brisket Birria (3.5 oz),Qdoba,99,g,140,15,3,7,0,450,1,3,0,50,260,qdoba
Chile Crema (1 oz),Qdoba,28,g,130,0,1,14,0,290,1,2,0,10,16,qdoba
Chile Corn Salsa (1 oz.),Qdoba,28,g,25,1,5,0,0,75,1,0,0,0,74,qdoba
Cholula Hot & Sweet Chicken (3.5oz),Qdoba,99,g,190,16,10,10,1,540,8,2.5,0,75,360,qdoba
Chopped Cilantro (.12 oz ),Qdoba,3,g,0,0,0,0,0,0,0,0,0,0,20,qdoba
Chorizo (1.5 oz.),Qdoba,43,g,130,7,2,10,0,410,0,4,0,25,140,qdoba
Chorizo (3.0 oz.),Qdoba,85,g,260,14,5,20,0,820,0,8,0,55,290,qdoba
Cilantro Lime Rice (4 oz.) (v),Qdoba,113,g,190,3,38,2.5,1,390,0,0.5,0,0,30,qdoba
Citrus Vinaigrette (1.5 oz.) (CANADA),Qdoba,43,g,210,0,5,21,0,0,5,3,0,0,10,qdoba
Citrus Vinaigrette (1.5 oz.) (US),Qdoba,43,g,100,0,7,8,0,330,5,0.5,0,0,0,qdoba
Cotija Cheese (.25 oz.),Qdoba,7,g,25,1,0,2,0,95,0,1.5,0,5,5,qdoba
Crispy Taco Shell**,Qdoba,13,g,60,1,8,2.5,1,0,0,0.5,0,0,0,qdoba
Crunchy Tortilla Shell,Qdoba,73,g,390,7,41,22,0,150,1,4.5,0,0,50,qdoba
Eggs (6 oz.),Qdoba,170,g,230,19,2,16,0,440,0,4.5,0,600,180,qdoba
Fajita Veggies (2 oz.),Qdoba,57,g,40,1,3,3,1,115,2,0,0,0,95,qdoba
"Flour Tortilla (5.5"")",Qdoba,24,g,70,2,12,1.5,1,170,0,0.5,0,0,25,qdoba
"Flour Tortilla (10"")",Qdoba,71,g,210,6,36,5,2,490,1,2,0,0,70,qdoba
"Flour Tortilla (12.5"")",Qdoba,102,g,300,8,52,7,3,760,2,2.5,0,0,50,qdoba
Grilled Adobo Chicken (3.5 oz.),Qdoba,99,g,190,19,2,12,0.45,440,1,3.5,0,90,430,qdoba
Grilled Steak (3.5 oz.),Qdoba,99,g,360,20,5,28,0.66,600,1,10,1,85,340,qdoba
Ground Beef (3.5 oz.),Qdoba,99,g,180,16,4,11,1,610,1,5,0,40,45,qdoba
Habanero Salsa (1 oz.),Qdoba,28,g,10,0,2,0,1,110,1,0,0,0,10,qdoba
Hand Crafted Guacamole (2 oz.),Qdoba,57,g,80,1,5,8,4,160,0,1,0,0,260,qdoba
Hand Crafted Guacamole (4 oz.),Qdoba,113,g,170,2,9,15,7,330,1,2,0,0,520,qdoba
Picante Ranch Dressing (1.5 oz.),Qdoba,43,g,80,1,3,8,0,180,1,2,0,15,45,qdoba
Pickled Jalapenos (1 oz.),Qdoba,28,g,15,0,3,0,0,90,2,0,0,0,30,qdoba
